ID,connected,Usage
276,False,Public
277,False,Public
278,False,Public
279,False,Public
280,False,Public
281,False,Public
282,False,Public
283,False,Public
284,False,Public
285,False,Public
286,False,Public
287,False,Public
288,False,Public
289,False,Public
290,False,Public
291,False,Public
292,False,Public
293,False,Public
294,False,Public
295,False,Public
296,False,Public
297,False,Public
298,False,Public
299,False,Public
300,False,Public
301,False,Public
302,False,Public
303,False,Public
304,False,Public
305,False,Public
306,False,Public
307,False,Public
308,False,Public
309,False,Public
310,False,Public
311,False,Public
312,False,Public
313,False,Public
314,False,Public
315,False,Public
316,False,Public
317,False,Public
318,False,Public
319,False,Public
320,False,Public
321,False,Public
322,False,Public
323,False,Public
324,False,Public
325,False,Public
326,False,Public
327,False,Public
328,False,Public
329,False,Public
330,False,Public
331,False,Public
332,False,Public
333,False,Public
334,False,Public
335,False,Public
336,False,Public
337,False,Public
338,False,Public
339,False,Public
340,False,Public
341,False,Public
342,False,Public
343,False,Public
344,False,Public
345,False,Public
346,False,Public
347,False,Public
348,False,Public
349,False,Public
350,False,Public
351,False,Public
352,False,Public
353,False,Public
354,False,Public
355,False,Public
356,False,Public
357,False,Public
358,False,Public
359,False,Public
360,False,Public
361,False,Public
362,False,Public
363,False,Public
364,False,Public
365,False,Public
366,False,Public
367,False,Public
368,False,Public
369,False,Public
370,False,Public
371,False,Public
372,False,Public
373,False,Public
374,False,Public
375,False,Public
376,False,Public
377,False,Public
378,False,Public
379,False,Public
380,False,Public
381,False,Public
382,False,Public
383,False,Public
384,False,Public
385,False,Public
386,False,Public
387,False,Public
388,False,Public
389,False,Public
390,False,Public
391,False,Public
392,False,Public
393,False,Public
394,False,Public
395,False,Public
396,False,Public
397,False,Public
398,False,Public
399,False,Public
400,False,Public
401,False,Public
402,False,Public
403,False,Public
404,False,Public
405,False,Public
406,False,Public
407,False,Public
408,False,Public
409,False,Public
410,False,Public
411,False,Public
412,False,Public
413,False,Public
414,False,Public
415,False,Public
416,False,Public
417,False,Public
418,False,Public
419,False,Public
420,False,Public
421,False,Public
422,False,Public
423,False,Public
424,False,Public
425,False,Public
426,False,Public
427,False,Public
428,False,Public
429,False,Public
430,False,Public
431,False,Public
432,False,Public
433,False,Public
434,False,Public
435,False,Public
436,False,Public
437,False,Public
438,False,Public
439,False,Public
440,False,Public
441,False,Public
442,False,Public
443,False,Public
444,False,Public
445,False,Public
446,False,Public
447,False,Public
448,False,Public
449,False,Public
450,False,Public
451,False,Public
452,False,Public
453,False,Public
454,False,Public
455,False,Public
456,False,Public
457,False,Public
458,False,Public
459,False,Public
460,False,Public
461,False,Public
462,False,Public
463,False,Public
464,False,Public
465,False,Public
466,False,Public
467,False,Public
468,False,Public
469,False,Public
470,False,Public
471,False,Public
472,False,Public
473,False,Public
474,False,Public
475,False,Public
476,False,Public
477,False,Public
478,False,Public
479,False,Public
480,False,Public
481,False,Public
482,False,Public
483,False,Public
484,False,Public
485,False,Public
486,False,Public
487,False,Public
488,False,Public
489,False,Public
490,False,Public
491,False,Public
492,False,Public
493,False,Public
494,False,Public
495,False,Public
496,False,Public
497,False,Public
498,False,Public
499,False,Public
500,False,Public
501,False,Public
502,False,Public
503,False,Public
504,False,Public
505,False,Public
506,False,Public
507,False,Public
508,False,Public
509,False,Public
510,False,Public
511,False,Public
512,False,Public
513,False,Public
514,False,Public
515,False,Public
516,False,Public
517,False,Public
518,False,Public
519,False,Public
520,False,Public
521,False,Public
522,False,Public
523,False,Public
524,False,Public
525,False,Public
526,False,Public
527,False,Public
528,False,Public
529,False,Public
530,False,Public
531,False,Public
532,False,Public
533,False,Public
534,False,Public
535,False,Public
536,False,Public
537,False,Public
538,False,Public
539,False,Public
540,False,Public
541,False,Public
542,False,Public
543,False,Public
544,False,Public
545,False,Public
546,False,Public
547,False,Public
548,False,Public
549,False,Public
550,False,Public
551,False,Public
552,False,Public
553,False,Public
554,False,Public
555,False,Public
556,False,Public
557,False,Public
558,False,Public
559,False,Public
560,False,Public
561,False,Public
562,False,Public
563,False,Public
564,False,Public
565,False,Public
566,False,Public
567,False,Public
568,False,Public
569,False,Public
570,False,Public
571,False,Public
572,False,Public
573,False,Public
574,False,Public
575,False,Public
576,False,Public
577,False,Public
578,False,Public
579,False,Public
580,False,Public
581,False,Public
582,False,Public
583,False,Public
584,False,Public
585,False,Public
586,False,Public
587,False,Public
588,False,Public
589,False,Public
590,False,Public
591,False,Public
592,False,Public
593,False,Public
594,False,Public
595,False,Public
596,False,Public
597,False,Public
598,False,Public
599,False,Public
600,False,Public
601,False,Public
602,False,Public
603,False,Public
604,False,Public
605,False,Public
606,False,Public
607,False,Public
608,False,Public
609,False,Public
610,False,Public
611,False,Public
612,False,Public
613,False,Public
614,False,Public
615,False,Public
616,False,Public
617,False,Public
618,False,Public
619,False,Public
620,False,Public
621,False,Public
622,False,Public
623,False,Public
624,False,Public
625,False,Public
626,False,Public
627,False,Public
628,False,Public
629,False,Public
630,False,Public
631,False,Public
632,False,Public
633,False,Public
634,False,Public
635,False,Public
636,False,Public
637,False,Public
638,False,Public
639,False,Public
640,False,Public
641,False,Public
642,False,Public
643,False,Public
644,False,Public
645,False,Public
646,False,Public
647,False,Public
648,False,Public
649,False,Public
650,False,Public
651,False,Public
652,False,Public
653,False,Public
654,False,Public
655,False,Public
656,False,Public
657,False,Public
658,False,Public
659,False,Public
660,False,Public
661,False,Public
662,False,Public
663,False,Public
664,False,Public
665,False,Public
666,False,Public
667,False,Public
668,False,Public
669,False,Public
670,False,Public
671,False,Public
672,False,Public
673,False,Public
674,False,Public
675,False,Public
676,False,Public
677,False,Public
678,False,Public
679,False,Public
680,False,Public
681,False,Public
682,False,Public
683,False,Public
684,False,Public
685,False,Public
686,False,Public
687,False,Public
688,False,Public
689,False,Public
690,False,Public
691,False,Public
692,False,Public
693,False,Public
694,False,Public
695,False,Public
696,False,Public
697,False,Public
698,False,Public
699,False,Public
700,False,Public
701,False,Public
702,False,Public
703,False,Public
704,False,Public
705,False,Public
706,False,Public
707,False,Public
708,False,Public
709,False,Public
710,False,Public
711,False,Public
712,False,Public
713,False,Public
714,False,Public
715,False,Public
716,False,Public
717,False,Public
718,False,Public
719,False,Public
720,False,Public
721,False,Public
722,False,Public
723,False,Public
724,False,Public
725,False,Public
726,False,Public
727,False,Public
728,False,Public
729,False,Public
730,False,Public
731,False,Public
732,False,Public
733,False,Public
734,False,Public
735,False,Public
736,False,Public
737,False,Public
738,False,Public
739,False,Public
740,False,Public
741,False,Public
742,False,Public
743,False,Public
744,False,Public
745,False,Public
746,False,Public
747,False,Public
748,False,Public
749,False,Public
750,False,Public
751,False,Public
752,False,Public
753,False,Public
754,False,Public
755,False,Public
756,False,Public
757,False,Public
758,False,Public
759,False,Public
760,False,Public
761,False,Public
762,False,Public
763,False,Public
764,False,Public
765,False,Public
766,False,Public
767,False,Public
768,False,Public
769,False,Public
770,False,Public
771,False,Public
772,False,Public
773,False,Public
774,False,Public
775,False,Public
776,False,Public
777,False,Public
778,False,Public
779,False,Public
780,False,Public
781,False,Public
782,False,Public
783,False,Public
784,False,Public
785,False,Public
786,False,Public
787,False,Public
788,False,Public
789,False,Public
790,False,Public
791,False,Public
792,False,Public
793,False,Public
794,False,Public
795,False,Public
796,False,Public
797,False,Public
798,False,Public
799,False,Public
800,False,Public
801,False,Public
802,False,Public
803,False,Public
804,False,Public
805,False,Public
806,False,Public
807,False,Public
808,False,Public
809,False,Public
810,False,Public
811,False,Public
812,False,Public
813,False,Public
814,False,Public
815,False,Public
816,False,Public
817,False,Public
818,False,Public
819,False,Public
820,False,Public
821,False,Public
822,False,Public
823,False,Public
824,False,Public
825,False,Public
826,False,Public
827,False,Public
828,False,Public
829,False,Public
830,False,Public
831,False,Public
832,False,Public
833,False,Public
834,False,Public
835,False,Public
836,False,Public
837,False,Public
838,False,Public
839,False,Public
840,False,Public
841,False,Public
842,False,Public
843,False,Public
844,False,Public
845,False,Public
846,False,Public
847,False,Public
848,False,Public
849,False,Public
850,False,Public
851,False,Public
852,False,Public
853,False,Public
854,False,Public
855,False,Public
856,False,Public
857,False,Public
858,False,Public
859,False,Public
860,False,Public
861,False,Public
862,False,Public
863,False,Public
864,False,Public
865,False,Public
866,False,Public
867,False,Public
868,False,Public
869,False,Public
870,False,Public
871,False,Public
872,False,Public
873,False,Public
874,False,Public
875,False,Public
876,False,Public
877,False,Public
878,False,Public
879,False,Public
880,False,Public
881,False,Public
882,False,Public
883,False,Public
884,False,Public
885,False,Public
886,False,Public
887,False,Public
888,False,Public
889,False,Public
890,False,Public
891,False,Public
892,False,Public
893,False,Public
894,False,Public
895,False,Public
896,False,Public
897,False,Public
898,False,Public
899,False,Public
900,False,Public
901,False,Public
902,False,Public
903,False,Public
904,False,Public
905,False,Public
906,False,Public
907,False,Public
908,False,Public
909,False,Public
910,False,Public
911,False,Public
912,False,Public
913,False,Public
914,False,Public
915,False,Public
916,False,Public
917,False,Public
918,False,Public
919,False,Public
920,False,Public
921,False,Public
922,False,Public
923,False,Public
924,False,Public
925,False,Public
926,False,Public
927,False,Public
928,False,Public
929,False,Public
930,False,Public
931,False,Public
932,False,Public
933,False,Public
934,False,Public
935,False,Public
936,False,Public
937,False,Public
938,False,Public
939,False,Public
940,False,Public
941,False,Public
942,False,Public
943,False,Public
944,False,Public
945,False,Public
946,False,Public
947,False,Public
948,False,Public
949,False,Public
950,False,Public
951,False,Public
952,False,Public
953,False,Public
954,False,Public
955,False,Public
956,False,Public
957,False,Public
958,False,Public
959,False,Public
960,False,Public
961,False,Public
962,False,Public
963,False,Public
964,False,Public
965,False,Public
966,False,Public
967,False,Public
968,False,Public
969,False,Public
970,False,Public
971,False,Public
972,False,Public
973,False,Public
974,False,Public
975,False,Public
976,False,Public
977,False,Public
978,False,Public
979,False,Public
980,False,Public
981,False,Public
982,False,Public
983,False,Public
984,False,Public
985,False,Public
986,False,Public
987,False,Public
988,False,Public
989,False,Public
990,False,Public
991,False,Public
992,False,Public
993,False,Public
994,False,Public
995,False,Public
996,False,Public
997,False,Public
998,False,Public
999,False,Public
1000,False,Public
1001,False,Public
1002,False,Public
1003,False,Public
1004,False,Public
1005,False,Public
1006,False,Public
1007,False,Public
1008,False,Public
1009,False,Public
1010,False,Public
1011,False,Public
1012,False,Public
1013,False,Public
1014,False,Public
1015,False,Public
1016,False,Public
1017,False,Public
1018,False,Public
1019,False,Public
1020,False,Public
1021,False,Public
1022,False,Public
1023,False,Public
1024,False,Public
1025,False,Public
1026,False,Public
1027,False,Public
1028,False,Public
1029,False,Public
1030,False,Public
1031,False,Public
1032,False,Public
1033,False,Public
1034,False,Public
1035,False,Public
1036,False,Public
1037,False,Public
1038,False,Public
1039,False,Public
1040,False,Public
1041,False,Public
1042,False,Public
1043,False,Public
1044,False,Public
1045,False,Public
1046,False,Public
1047,False,Public
1048,False,Public
1049,False,Public
1050,True,Public
1051,False,Public
1052,False,Public
1053,False,Public
1054,False,Public
1055,False,Public
1056,False,Public
1057,False,Public
1058,False,Public
1059,False,Public
1060,False,Public
1061,False,Public
1062,False,Public
1063,False,Public
1064,False,Public
1065,False,Public
1066,False,Public
1067,False,Public
1068,False,Public
1069,False,Public
1070,False,Public
1071,False,Public
1072,False,Public
1073,False,Public
1074,False,Public
1075,False,Public
1076,False,Public
1077,False,Public
1078,False,Public
1079,False,Public
1080,False,Public
1081,False,Public
1082,False,Public
1083,False,Public
1084,False,Public
1085,False,Public
1086,False,Public
1087,False,Public
1088,False,Public
1089,False,Public
1090,False,Public
1091,False,Public
1092,False,Public
1093,False,Public
1094,False,Public
1095,False,Public
1096,False,Public
1097,False,Public
1098,False,Public
1099,False,Public
1100,False,Public
1101,False,Public
1102,False,Public
1103,False,Public
1104,False,Public
1105,False,Public
1106,False,Public
1107,False,Public
1108,False,Public
1109,False,Public
1110,False,Public
1111,False,Public
1112,False,Public
1113,False,Public
1114,False,Public
1115,False,Public
1116,False,Public
1117,False,Public
1118,False,Public
1119,False,Public
1120,False,Public
1121,False,Public
1122,False,Public
1123,False,Public
1124,False,Public
1125,False,Public
1126,False,Public
1127,False,Public
1128,False,Public
1129,False,Public
1130,False,Public
1131,False,Public
1132,False,Public
1133,False,Public
1134,False,Public
1135,False,Public
1136,False,Public
1137,False,Public
1138,False,Public
1139,False,Public
1140,False,Public
1141,False,Public
1142,False,Public
1143,False,Public
1144,False,Public
1145,False,Public
1146,False,Public
1147,False,Public
1148,False,Public
1149,False,Public
1150,False,Public
1151,False,Public
1152,False,Public
1153,False,Public
1154,False,Public
1155,False,Public
1156,False,Public
1157,False,Public
1158,False,Public
1159,False,Public
1160,False,Public
1161,False,Public
1162,False,Public
1163,False,Public
1164,False,Public
1165,False,Public
1166,False,Public
1167,False,Public
1168,False,Public
1169,False,Public
1170,False,Public
1171,False,Public
1172,False,Public
1173,False,Public
1174,False,Public
1175,False,Public
1176,False,Public
1177,False,Public
1178,False,Public
1179,False,Public
1180,False,Public
1181,False,Public
1182,False,Public
1183,False,Public
1184,False,Public
1185,False,Public
1186,False,Public
1187,False,Public
1188,False,Public
1189,False,Public
1190,False,Public
1191,False,Public
1192,False,Public
1193,False,Public
1194,False,Public
1195,False,Public
1196,False,Public
1197,False,Public
1198,False,Public
1199,False,Public
1200,False,Public
1201,False,Public
1202,False,Public
1203,False,Public
1204,False,Public
1205,False,Public
1206,False,Public
1207,False,Public
1208,False,Public
1209,False,Public
1210,False,Public
1211,False,Public
1212,False,Public
1213,False,Public
1214,False,Public
1215,False,Public
1216,False,Public
1217,False,Public
1218,False,Public
1219,False,Public
1220,False,Public
1221,False,Public
1222,False,Public
1223,False,Public
1224,False,Public
1225,False,Public
1226,False,Public
1227,False,Public
1228,False,Public
1229,False,Public
1230,False,Public
1231,False,Public
1232,False,Public
1233,False,Public
1234,False,Public
1235,False,Public
1236,False,Public
1237,False,Public
1238,False,Public
1239,False,Public
1240,False,Public
1241,False,Public
1242,False,Public
1243,False,Public
1244,False,Public
1245,False,Public
1246,False,Public
1247,False,Public
1248,False,Public
1249,False,Public
1250,False,Public
1251,False,Public
1252,False,Public
1253,False,Public
1254,False,Public
1255,False,Public
1256,False,Public
1257,False,Public
1258,False,Public
1259,False,Public
1260,False,Public
1261,False,Public
1262,False,Public
1263,False,Public
1264,False,Public
1265,False,Public
1266,False,Public
1267,False,Public
1268,False,Public
1269,False,Public
1270,False,Public
1271,False,Public
1272,False,Public
1273,False,Public
1274,False,Public
1275,False,Public
1276,False,Public
1277,False,Public
1278,False,Public
1279,False,Public
1280,False,Public
1281,False,Public
1282,False,Public
1283,False,Public
1284,False,Public
1285,False,Public
1286,False,Public
1287,False,Public
1288,False,Public
1289,False,Public
1290,False,Public
1291,False,Public
1292,False,Public
1293,False,Public
1294,False,Public
1295,False,Public
1296,False,Public
1297,False,Public
1298,False,Public
1299,False,Public
1300,False,Public
1301,False,Public
1302,False,Public
1303,False,Public
1304,False,Public
1305,False,Public
1306,False,Public
1307,False,Public
1308,False,Public
1309,False,Public
1310,False,Public
1311,False,Public
1312,False,Public
1313,False,Public
1314,False,Public
1315,False,Public
1316,False,Public
1317,False,Public
1318,False,Public
1319,False,Public
1320,False,Public
1321,False,Public
1322,False,Public
1323,False,Public
1324,False,Public
1325,False,Public
1326,False,Public
1327,False,Public
1328,False,Public
1329,False,Public
1330,False,Public
1331,False,Public
1332,False,Public
1333,False,Public
1334,False,Public
1335,False,Public
1336,False,Public
1337,False,Public
1338,False,Public
1339,False,Public
1340,False,Public
1341,False,Public
1342,False,Public
1343,False,Public
1344,False,Public
1345,False,Public
1346,False,Public
1347,False,Public
1348,False,Public
1349,False,Public
1350,False,Public
1351,False,Public
1352,False,Public
1353,False,Public
1354,False,Public
1355,False,Public
1356,False,Public
1357,False,Public
1358,False,Public
1359,False,Public
1360,False,Public
1361,False,Public
1362,False,Public
1363,False,Public
1364,False,Public
1365,False,Public
1366,False,Public
1367,False,Public
1368,False,Public
1369,False,Public
1370,False,Public
1371,False,Public
1372,False,Public
1373,False,Public
1374,False,Public
1375,False,Public
1376,False,Public
1377,False,Public
1378,False,Public
1379,False,Public
1380,False,Public
1381,False,Public
1382,False,Public
1383,False,Public
1384,False,Public
1385,False,Public
1386,False,Public
1387,False,Public
1388,False,Public
1389,False,Public
1390,False,Public
1391,False,Public
1392,False,Public
1393,False,Public
1394,False,Public
1395,False,Public
1396,False,Public
1397,False,Public
1398,False,Public
1399,False,Public
1400,False,Public
1401,True,Public
1402,False,Public
1403,False,Public
1404,False,Public
1405,False,Public
1406,False,Public
1407,False,Public
1408,False,Public
1409,False,Public
1410,False,Public
1411,True,Public
1412,False,Public
1413,False,Public
1414,False,Public
1415,False,Public
1416,False,Public
1417,False,Public
1418,False,Public
1419,False,Public
1420,False,Public
1421,False,Public
1422,False,Public
1423,False,Public
1424,False,Public
1425,False,Public
1426,False,Public
1427,False,Public
1428,False,Public
1429,False,Public
1430,False,Public
1431,False,Public
1432,False,Public
1433,False,Public
1434,False,Public
1435,False,Public
1436,False,Public
1437,False,Public
1438,False,Public
1439,False,Public
1440,False,Public
1441,False,Public
1442,False,Public
1443,False,Public
1444,False,Public
1445,False,Public
1446,False,Public
1447,False,Public
1448,False,Public
1449,False,Public
1450,False,Public
1451,False,Public
1452,False,Public
1453,False,Public
1454,False,Public
1455,False,Public
1456,False,Public
1457,False,Public
1458,False,Public
1459,False,Public
1460,False,Public
1461,False,Public
1462,False,Public
1463,False,Public
1464,False,Public
1465,False,Public
1466,False,Public
1467,False,Public
1468,False,Public
1469,False,Public
1470,False,Public
1471,False,Public
1472,False,Public
1473,False,Public
1474,False,Public
1475,False,Public
1476,False,Public
1477,False,Public
1478,False,Public
1479,False,Public
1480,False,Public
1481,False,Public
1482,False,Public
1483,False,Public
1484,False,Public
1485,False,Public
1486,False,Public
1487,False,Public
1488,False,Public
1489,False,Public
1490,False,Public
1491,False,Public
1492,False,Public
1493,False,Public
1494,False,Public
1495,False,Public
1496,False,Public
1497,False,Public
1498,False,Public
1499,False,Public
1500,False,Public
1501,False,Public
1502,False,Public
1503,False,Public
1504,False,Public
1505,False,Public
1506,False,Public
1507,False,Public
1508,False,Public
1509,False,Public
1510,False,Public
1511,False,Public
1512,False,Public
1513,False,Public
1514,False,Public
1515,False,Public
1516,False,Public
1517,False,Public
1518,False,Public
1519,False,Public
1520,False,Public
1521,True,Public
1522,False,Public
1523,False,Public
1524,False,Public
1525,False,Public
1526,False,Public
1527,False,Public
1528,False,Public
1529,False,Public
1530,False,Public
1531,False,Public
1532,False,Public
1533,False,Public
1534,False,Public
1535,False,Public
1536,False,Public
1537,False,Public
1538,False,Public
1539,False,Public
1540,False,Public
1541,False,Public
1542,False,Public
1543,False,Public
1544,False,Public
1545,False,Public
1546,False,Public
1547,False,Public
1548,False,Public
1549,False,Public
1550,False,Public
1551,False,Public
1552,False,Public
1553,False,Public
1554,False,Public
1555,False,Public
1556,False,Public
1557,False,Public
1558,False,Public
1559,False,Public
1560,False,Public
1561,False,Public
1562,False,Public
1563,False,Public
1564,False,Public
1565,False,Public
1566,True,Public
1567,False,Public
1568,False,Public
1569,False,Public
1570,False,Public
1571,False,Public
1572,False,Public
1573,False,Public
1574,False,Public
1575,False,Public
1576,False,Public
1577,False,Public
1578,False,Public
1579,False,Public
1580,False,Public
1581,False,Public
1582,False,Public
1583,False,Public
1584,False,Public
1585,False,Public
1586,False,Public
1587,False,Public
1588,False,Public
1589,False,Public
1590,False,Public
1591,False,Public
1592,False,Public
1593,False,Public
1594,False,Public
1595,False,Public
1596,False,Public
1597,False,Public
1598,False,Public
1599,False,Public
1600,False,Public
1601,False,Public
1602,False,Public
1603,False,Public
1604,False,Public
1605,False,Public
1606,False,Public
1607,False,Public
1608,False,Public
1609,False,Public
1610,False,Public
1611,False,Public
1612,False,Public
1613,False,Public
1614,False,Public
1615,False,Public
1616,False,Public
1617,False,Public
1618,False,Public
1619,False,Public
1620,False,Public
1621,False,Public
1622,False,Public
1623,False,Public
1624,False,Public
1625,False,Public
1626,False,Public
1627,False,Public
1628,False,Public
1629,False,Public
1630,False,Public
1631,False,Public
1632,False,Public
1633,False,Public
1634,False,Public
1635,False,Public
1636,False,Public
1637,False,Public
1638,False,Public
1639,False,Public
1640,False,Public
1641,False,Public
1642,False,Public
1643,False,Public
1644,False,Public
1645,False,Public
1646,False,Public
1647,False,Public
1648,False,Public
1649,False,Public
1650,False,Public
1651,False,Public
1652,False,Public
1653,False,Public
1654,False,Public
1655,False,Public
1656,False,Public
1657,False,Public
1658,False,Public
1659,False,Public
1660,False,Public
1661,False,Public
1662,False,Public
1663,False,Public
1664,False,Public
1665,False,Public
1666,False,Public
1667,False,Public
1668,False,Public
1669,False,Public
1670,False,Public
1671,False,Public
1672,False,Public
1673,False,Public
1674,False,Public
1675,False,Public
1676,False,Public
1677,False,Public
1678,False,Public
1679,False,Public
1680,False,Public
1681,False,Public
1682,False,Public
1683,False,Public
1684,False,Public
1685,False,Public
1686,False,Public
1687,False,Public
1688,False,Public
1689,False,Public
1690,False,Public
1691,False,Public
1692,False,Public
1693,False,Public
1694,False,Public
1695,False,Public
1696,False,Public
1697,False,Public
1698,False,Public
1699,False,Public
1700,False,Public
1701,False,Public
1702,False,Public
1703,False,Public
1704,False,Public
1705,False,Public
1706,False,Public
1707,False,Public
1708,False,Public
1709,False,Public
1710,False,Public
1711,False,Public
1712,False,Public
1713,False,Public
1714,False,Public
1715,False,Public
1716,False,Public
1717,False,Public
1718,False,Public
1719,False,Public
1720,False,Public
1721,False,Public
1722,False,Public
1723,False,Public
1724,False,Public
1725,False,Public
1726,False,Public
1727,False,Public
1728,False,Public
1729,False,Public
1730,False,Public
1731,False,Public
1732,False,Public
1733,False,Public
1734,False,Public
1735,False,Public
1736,False,Public
1737,False,Public
1738,False,Public
1739,False,Public
1740,False,Public
1741,False,Public
1742,False,Public
1743,False,Public
1744,False,Public
1745,False,Public
1746,False,Public
1747,False,Public
1748,False,Public
1749,False,Public
1750,False,Public
1751,False,Public
1752,False,Public
1753,False,Public
1754,False,Public
1755,False,Public
1756,False,Public
1757,False,Public
1758,False,Public
1759,False,Public
1760,False,Public
1761,False,Public
1762,False,Public
1763,False,Public
1764,False,Public
1765,False,Public
1766,False,Public
1767,False,Public
1768,False,Public
1769,False,Public
1770,False,Public
1771,False,Public
1772,False,Public
1773,False,Public
1774,False,Public
1775,False,Public
1776,False,Public
1777,False,Public
1778,False,Public
1779,False,Public
1780,False,Public
1781,False,Public
1782,False,Public
1783,False,Public
1784,False,Public
1785,False,Public
1786,False,Public
1787,False,Public
1788,False,Public
1789,False,Public
1790,False,Public
1791,False,Public
1792,False,Public
1793,False,Public
1794,False,Public
1795,False,Public
1796,False,Public
1797,False,Public
1798,False,Public
1799,False,Public
1800,False,Public
1801,False,Public
1802,False,Public
1803,False,Public
1804,False,Public
1805,False,Public
1806,False,Public
1807,False,Public
1808,False,Public
1809,False,Public
1810,False,Public
1811,False,Public
1812,False,Public
1813,False,Public
1814,False,Public
1815,False,Public
1816,False,Public
1817,False,Public
1818,False,Public
1819,False,Public
1820,False,Public
1821,False,Public
1822,False,Public
1823,False,Public
1824,False,Public
1825,False,Public
1826,False,Public
1827,False,Public
1828,False,Public
1829,False,Public
1830,False,Public
1831,False,Public
1832,False,Public
1833,False,Public
1834,False,Public
1835,False,Public
1836,False,Public
1837,False,Public
1838,False,Public
1839,False,Public
1840,False,Public
1841,False,Public
1842,False,Public
1843,False,Public
1844,False,Public
1845,False,Public
1846,False,Public
1847,False,Public
1848,False,Public
1849,False,Public
1850,False,Public
1851,False,Public
1852,False,Public
1853,False,Public
1854,False,Public
1855,False,Public
1856,False,Public
1857,False,Public
1858,False,Public
1859,False,Public
1860,False,Public
1861,False,Public
1862,False,Public
1863,False,Public
1864,False,Public
1865,False,Public
1866,False,Public
1867,False,Public
1868,False,Public
1869,False,Public
1870,False,Public
1871,False,Public
